немного;a little bit
слух;rumor
участвовать в выборах;run for
беглец/беглый;runaway
сельский, деревенский;rural
торопиться, мчаться;rush
ржавчина/ржаветь;rust
колея, борозда;rut
жестокий, бесжалостный;ruthless
мешок;sack
священный;sacred
жертва/жертвовать;sacrifice
грустный;sad
безопасный;safe
безопасность;safety
парус/плыть под парусом;sail
святой;saint
зарплата;salary
продажа или распродажа;sale
продавец;salesperson
соль/солить;salt
спасение/спасать;salvage
спасение;salvation
образец, шаблон;sample
одобрение, разрешение;sanction
песок;sand
находящийся в своЮм уме;sane
психическое здоровье;sanity
спутник;satellite
удовлетворение;satisfaction
удовлетворительный;satisfactory
удовлетворять;satisfy
блюдце;saucer
колбаса;sausage
дикий/дикарь;savage
кроме;save
спасать;save
экономить;save
сбережения;savings
высказывание, поговорка;saying
уровень, ступень;scale
весы;scales
скудный;scant
недостаточный, скудный;scarce
едва;scarcely
пугать/испуг, паника;scare
пугающий;scary
разбрасывать;scatter
запах/чуять или нюхать;scent
расписание, график/составлять расписание;schedule
схема, план, график;scheme
учЮный;scholar
наука;science
научный;scientific
учЮный;scientist
ножницы;scissors
бранить, ругать;scold
границы, рамки, пределы;scope
счЮт (по игре и т. п.);score
презрение, насмешка;scorn
презрительный;scornful
продираться, карабкаться;scramble
яичница;scrambled eggs
клочок, кусок, остаток;scrap
скоблить, скрести;scrape
царапина/царапать, скрести;scratch
вопль, крик/кричать;scream
экран;screen
испортить;screw up
прикручивать, завинчивать;screw
трахать, совокупляться;screw
писание;scripture
прокручивать (текст на компе);scroll
тереть, скрести;scrub
исследовать, рассматривать;scrutinize
внимательный осмотр;scrutiny
пена, накипь, отбросы;scum
море;sea
печать/опечатывать;seal
поиски/искать, исследовать;search
пора, время, период;season
приправлять, или придавать интерес;season
место, сиденье;seat
вторичный, второстепенный, побочный;secondary
секретность;secrecy
тайна;secret
отдел, отделение;section
мирской, светский;secular
безопасный, спокойный/обезопасить, сохранить;secure
безопасность;security
соблазнять;seduce
обольщение, соблазн;seduction
семя/сеять, сажать растения;seed
добиваться, стремиться;seek after
добиваться, стремиться;seek
искать;seek
выглядеть;seem
видимо;seemingly
хватать, ухватываться;seize
редко;seldom
выбирать;select
выбор, набор, подбор;selection
избирательный;selective
собственная личность, сам;self
тот же самый;self-same
эгоистичный;selfish
продавать;sell
посылать;send
старший;senior
разум;sense
чувство;sense
бесчуственный или бессодержательный, бессмысленный;senseless
чувствительность, восприимчивость;sensibility
разумный, здравомыслящий;sensible
чувствительный, восприимчивый;sensitive
плотский;sensual
предложение;sentence
приговор;sentence
чувство, настроение, мнение;sentiment
отделять;separate
отделение, расставание;separation
продолжение;sequel
ряд,серия;series
серьЮзный;serious
проповедь;sermon
слуга;servant
подавать еду;serve
служить;serve
служба, услуга, обслуживание;service
стремиться;set out
учредить, установить;set up
набор, комплект;set
устанавливать;set
соглашаться;settle for
решать, урегулировать;settle
уладить, решить, определиться;settle
урегулирование, решение;settlement
несколько;several
строгий, суровый;severe
шить;sew
пол (м/ж);sex
тень/затенять;shade
тень;shadow
трясти;shake
мелкий или поверхностный;shallow
стыд, позор;shame
позорный, постыдный;shameful
очертания/придавать форму;shape
делить;share
акула;shark
острый;sharp
заострять;sharpen
разбивать, разрушать;shatter
бриться;shave
стричь;shear
футляр, ножны;sheath
ронять или проливать;shed
овца;sheep
абсолютный, полнейший;sheer
лист бумаги, стекла, ткани и т. д.;sheet
полка;shelf
оболочка, скорлупа, раковина;shell
пастух;shepherd
щит;shield
менять, перемещать/смена, перемещение;shift
сияние/сиять;shine
корабль;ship
увиливать, уклоняться;shirk
дерьмо;shit
дрожать/дрожь;shiver
потрясать/потрясение, шок;shock
туфля;shoe
стрелять;shoot
магазин/ходить по магазинам;shop
берег моря, озера;shore
недостаток;shortage
кратчайший путь;shortcut
укорачивать;shorten
выстрел;shot
плечо;shoulder
кричать/крик;shout
толкать, пихать/толчок;shove
лопата, совок/копать;shovel
душ;shower
лоскуток, клочок/резать, кромсать;shred
проницательный, умный, практичный;shrewd
сокращаться, сжиматься, усыхать;shrink
пелена, покров, саван;shroud
вздрагивать/содрогание;shudder
заткнуться;shut up
закрывать/закрытый;shut
застенчивый;shy
больной;sick
испытывать отвращение или заболевать;sicken
болезнь;sickness
сторона;side
тротуар;sidewalk
вздыхать/вздох;sigh
вид, зрелище/видеть, наблюдать;sight
записаться, поступить куда-либо;sign up
знак, признак;sign
подписывать;sign
подпись;signature
значение, важность;significance
значительный;significant
означать, иметь значение;signify
тишина или молчание;silence
тихий или молчаливый;silent
шЮлк/шЮлковый;silk
глупый;silly
серебряный/серебро;silver
похожий;similar
простой;simple
простота;simplicity
упрощать;simplify
просто;simply
одновременный;simultaneous
грех/грешить;sin
с (каких-то пор);since
так как, потому что;since
искренний;sincere
искренность;sincerity
одинокий, одиночный, один-единственный;single
необычный, исключительный;singular
оригинальность, необычность;singularity
раковина или сточная труба;sink
тонуть или топить (обычно о корабле);sink
потягивать, попивать/маленький глоток;sip
размер;size
кататься на коньках/конЮк;skate
скелет;skeleton
набросок, рисунок, эскиз;sketch
ехать на лыжах/лыжа;ski
умение, искусство;skill
умелый, квалифицированный;skilled
умелый;skillful
кожа, шкура/снимать шкуру;skin
тощий;skinny
пропускать;skip
юбка;skirt
череп;skull
небо;sky
слабый, дряблый, вялый;slack
ослаблять;slacken
хлопать, бросать со стуком;slam
клевета, злословие;slander
шлепок/шлЮпать, хлопать;slap
резня, бойня/устраивать бойню;slaughter
раб;slave
рабство;slavery
убивать;slay
рукав;sleeve
скудный, слабый;slender
ломтик, кусочек/резать на кусочки;slice
скользить/скольжение;slide
незначительный, лЮгкий, слабый;slight
тонкий, стройный/похудеть;slim
поскользнуться/скольжение, сдвиг, смещение;slip
тапочки;slippers
скользкий;slippery
наклон, склон, скат;slope
лень, медлительность;sloth
медленный;slow
резко падать/резкое падение (обычно о показателях);slump
хитрый, ловкий;sly
хлопать, шлЮпать/хлопание;smack
умный, ловкий, проворный;smart
разбивать, сокрушать, сталкивать/разрушение, падение;smash
пахнуть или нюхать;smell
дым;smoke
курить;smoke
гладкий;smooth
змея;snake
торопиться приняться за работу;snap into
трещать, щЮлкать, порваться/треск, щЮлканье;snap
утащить;snatch away
схватить/хватание;snatch
красться;sneak
насмешка, глумление/презрительно насмехаться;sneer
чихать/чихание;sneeze
сопеть/сопение;sniff
снег/снежный;snow
оскорблять, относиться с пренебрежением/пренебрежительное отношение;snub
так называемый;so-called
впитываться, просачиваться, всасывать;soak
мыло;soap
парить, высоко летать;soar
трезвый/отрезвлять, трезветь;sober
футбол;soccer
общительный, дружелюбный;sociable
общество;society
носок;sock
педерастия;sodomy
мягкий;soft
смягчать;soften
программное обеспечение;software
почва;soil
солнечный;solar
солдат;soldier
единственный, исключительный;sole
торжественный, важный, серьЮзный;solemn
твЮрдый;solid
одинокий, уединЮнный или единичный;solitary
уединение или одиночество;solitude
решение;solution
решать (проблему);solve
как-нибудь;someday
как-нибудь, как-то;somehow
когда-нибудь или когда-то;sometime
отчасти, до некоторой степени;somewhat
где-нибудь, куда-нибудь;somewhere
рано;soon
скоро;soon
успокаивать, смягчать;soothe
сложный, запутанный, изощрЮнный;sophisticated
больной;sore
огорчЮнный, опечаленный;sore
горе;sorrow
огорчЮнный, сожалеющий;sorry
душа;soul
звук/звучать, произносить;sound
здоровый;sound
суп;soup
кислый;sour
источник;source
юг;south
южный;southern
сеять;sow
космос;space
место, пространство;space
космический корабль;spacecraft
космический корабль;spaceship
лопата/копать лопатой;spade
промежуток времени;span
уберечь, сберечь/сбережЮнный, сэкономленный;spare
скудный, умеренный;sparing
искра/искриться;spark
искра/искриться;sparkle
воробей;sparrow
высказаться;speak up
копьЮ;spear
особенный;special
специальность или особенность;specialty
вид, порода, разновидность;species
зрелище;spectacle
эффектный, захватывающий;spectacular
зритель, очевидец;spectator
размышлять, делать предположения;speculate
размышление, теория, предположение;speculation
речь;speech
скорость;speed
торопить или ускоряться;speed
писать по буквам;spell
правописание, орфография;spelling
тратить или проводить (о времени);spend
паук;spider
проливать;spill
крутиться;spin
позвоночник;spine
дух;spirit
духовный;spiritual
плевать;spit
злоба;spite
злобный;spiteful
брызгать/брызги, всплеск;splash
великолепный, блестящий;splendid
раскалывать, разбиваться, разъединяться, рассыпаться;split
портить;spoil
представитель, делегат, оратор;spokesman
ложка;spoon
место;spot
пятно;spot
увидеть, узнать, опознать;spot
супруг, супруга;spouse
распространять, расширять/распространение, расширение;spread
весна;spring
происходить от чего-либо;spring
прыгать/прыжок;spring
бегать/бег на короткие дистанции;sprint
мотивировать, побуждать/шпора;spur
шпион/шпионить;spy
квадрат/квадратный;square
площадь;square
сидеть (сленг или о животных);squat
скрипеть/скрип;squeak
сжимать, выжимать, вынуждать/сжатие;squeeze
убивать ножом/удар ножом;stab
стойкий, устойчивый;stable
куча, груда;stack
штат, персонал;staff
стадия, ступень;stage
шататься/шатание;stagger
пятно;stain
ступенька;stair
рисковать, ставить на кон;stake
стебель;stalk
застревать, останавливать, задерживать;stall
штамп, печать, марка;stamp
защищать, отстаивать;stand up for
выдержать, выстоять;stand
точка зрения;standpoint
останока, бездействие, застой;standstill
пристально смотреть/пристальный взгляд;stare
полный, абсолютный;stark
пугать или удивлять/испуг;startle
потрясающий, поразительный;startling
голод;starvation
голодать;starve
государство/государственный;state
состояние, положение;state
утверждать, констатировать, формулировать;state
утверждение, заявление, изложение;statement
государственный деятель;statesman
неподвижный;static
не ложиться спать;stay up
оставаться, стоять на месте;stay
устойчивый;steady
красть/воровство;steal
пар;steam
сталь;steel
крутой;steep
управлять (судном, автомобилем);steer
звЮздный;stellar
стебель, черенок/происходить от;stem
шаг/шагать, наступать;step
бесплодный, безрезультатный;sterile
суровый, неумолимый;stern
высовывать, торчать;stick out
выдаваться, торчать;stick up
держаться, приклеиться, застрять;stick
палка;stick
приклеиваться;stick
совать, тыкать;stick
наклейка;sticker
тугой, негибкий;stiff
сдерживать, подавлять или душить;stifle
всЮ ещЮ;still
тихий, бесшумный, спокойный, неподвижный;still
стимул, импульс;stimulus
жало/жалить;sting
вонять;stink
шевелить(ся);stir
акции;stock
склад/хранить;stock
желудок;stomach
камень;stone
хранилище или хранение;storage
склад товаров или магазин/хранить;store
этаж, ярус;storey
буря;storm
рассказ, история;story
полный, тучный, плотный;stout
прямой/прямо;straight
прямой, честный;straightforward
мелодия, напев, стих;strain
напряжение, натяжение, испытание/напрягать, натягивать;strain
необычный или чужой;strange
душить или задыхаться;strangle
ремень;strap
солома;straw
земляника, клубника;strawberry
блуждать;stray
поток, река, ручей/течь;stream
сила, прочность;strength
усиливать;strengthen
напряжение, давление;stress
тянуть, вытягивать/вытягивание;stretch
точный, строгий;strict
шагать/большой шаг;stride
борьба, спор, раздор;strife
забастовка;strike
удар/ударить, поразить (в т. ч. перен.);strike
тонкая верЮвка или струна;string
обнажать, сдирать;strip
полоска;stripe
стараться, бороться;strive
гладить, ласкать;stroke
прогулка/прогуливаться;stroll
бороться/борьба;struggle
упрямый;stubborn
учиться, изучать;study
материал, вещество, вещи и всЮ что угодно);stuff
набивать, заполнять, заваливать;stuff
споткнуться/спотыкание;stumble
тупой, глупый;stupid
глупость;stupidity
сильный, здоровый;sturdy
подчинять, покорять;subdue
подверженный;subject
предмет, тема, вопрос;subject
высокий, высший;sublime
подчинение;submission
подчиниться, покориться;submit
подчинЮнный/подчинять;subordinate
подписываться;subscribe
последующий;subsequent
вещество, сущность, суть;substance
реальный, существенный;substantial
замена, заместитель, суррогат;substitute
замена, замещение;substitution
тонкий, неуловимый, искусный;subtle
вычитать;subtract
пригород;suburb
метро;subway
достигать цели, успеха;succeed
успех;success
успешный;successful
последовательность;succession
последовательный;successive
преемник, последователь;successor
сосать;suck
любое ругательное слово);sucker
внезапный;sudden
возбуждать дело, преследовать судебным порядком;sue
страдать;suffer
быть достаточным, хватать;suffice
достаточный;sufficient
сахар;sugar
предлагать;suggest
предложение;suggestion
самоубийство;suicide
костюм;suit
подходить, соответствовать;suit
подходящий;suitable
чемодан;suitcase
сумма/складывать, подводить итог;sum
краткое изложение, сводка;summary
лето;summer
вершина;summit
собирать, созывать;summon
солнце;sun
закат солнца;sunset
солнечный свет;sunshine
великолпный, прекрасный, превосходный;superb
высший, лучший, старший, превосходящий;superior
превосходство;superiority
суеверие;superstition
добавление, прибавление;supplement
поставка, снабжение или предложение (экон);supply
поддерживать/поддержка;support
предполагать, подразумевать;suppose
предположение;supposition
пресекать, подавлять, сдерживать;suppress
верховный, высший;supreme
верный, уверенный;sure
поверхность;surface
подниматься, вздыматься, волноваться;surge
хирург;surgeon
хирургия;surgery
хирургический;surgical
преодолевать;surmount
превосходить, превышать;surpass
излишек/излишний;surplus
удивление/удивлять;surprise
сдаваться/сдача, капитуляция;surrender
окружать;surround
окружение;surrounding
обзор, осмотрение/обозревать;survey
выживание;survival
выживать;survive
оставшийся в живых;survivor
подозревать/подозреваемый;suspect
подвешивать, приостанавливать, временно прекращать;suspend
неизвестность, неопределЮнность, временное прекращение, подвешенность;suspense
подозрение;suspicion
подозрительный;suspicious
поддерживать, подкреплять;sustain
глотать/глоток;swallow
менять/обмен;swap
влиять, воздействовать;sway
качаться, колебаться/качание;sway
клясться/клятва;swear
ругаться;swear
пот/потеть;sweat
мести/подметание;sweep
приятный, прекрасный, сладкий;sweet
возлюбленная(ый) или дорогая(ой) (в обращении);sweetheart
надуваться, увеличиваться;swell
отличный, превосходный;swell
скорый, быстрый;swift
обманывать/надувательство;swindle
качать, махать/качание, колебание;swing
переключатель/переключать, включать (электричество);switch
меч;sword
символ, обозначение;symbol
сочувствовать;sympathize
сочувствие;sympathy
таблица;table
схватить, взяться;tackle
ярлык, этикетка, бирка;tag
хвост;tail
отбирать, забирать;take away
заботиться;take care
сносить, разрушать, спускать;take down
снимать (одежду);take off
рисковать;take risks
занимать (о времени, ресурсах);take
сказка;tale
талант;talent
болтун;talker
высокий;tall
ручной/приручать, смирять;tame
загар, загорать;tan
запутывать/путаница, узел;tangle
бак, чан, цистерна;tank
стучать, похлопывать/стук;tap
тесьма, лента;tape
цель;target
задача, задание;task
вкус/иметь вкус;taste
насмехаться/насмешка;taunt
налог/облагать налогом;tax
налогообложение;taxation
чай;tea
команда, экипаж;team
рвать;tear
слЮзы;tears
дразнить;tease
техника;technology
скучный, утомительный;tedious
подросткового возраста;teenage
характер или настроение;temper
умеренность, воздержанность;temperance
храм;temple
временный, текущий, мирской;temporal
временный;temporary
соблазнять, искушать;tempt
искушение;temptation
упорство, стойкость, цепкость;tenacity
съЮмщик квартиры;tenant
иметь склонность, стремиться;tend
тенденция;tendency
нежный,;tender
догмат, принцип;tenet
натянутый, тугой, напряжЮнный;tense
напряжение;tension
палатка;tent
пробный, экспериментальный;tentative
срок, период;term
термин, язык;term
конец, завершение;termination
отношения;terms
ужасный;terrible
ужасающий, в т. ч. перен.: огромный, необычный;terrific
ужасать, запугивать;terrify
страх, ужас;terror
вселять страх;terrorize
проверить, испытать/проверка;test
яички;testicles
утверждать, заявлять;testify
доказательство, свидетельство;testimony
благодарить/благодарность;thank
благодарный;thankful
театр;theater
воровство, кража;theft
тема;theme
теория;theory
потом, в последствии;thereafter
таким образом, в связи с этим;thereby
поэтому, следовательно;therefore
эти;these
толстый;thick
толщина;thickness
вор;thief
тонкий, худой, слабый, тусклый;thin
жажда;thirst
шип, колючка;thorn
вполне, основательно;thoroughly
те;those
ты (устар);thou
хотя, несмотря на;though
мысль;thought
задумчивый, вдумчивый;thoughtful
тысяча;thousand
нить;thread
угроза;threat
угрожать;threaten
порог;threshold
экономность, бережливость;thrift
волнение, дрожь/волновать, вызывать трепет;thrill
процветать, преуспевать;thrive
глотка;throat
толпа, масса, множество;throng
повсюду, на всЮм протяжении;throughout
выбрасывать, отбрасывать;throw away
выбрасывать;throw out
бросать;throw
толкать, тыкать, совать/толчок;thrust
большой палец руки;thumb
ударять, бить с глухим звуком/глухой удар;thump
гром;thunder
гроза;thunderstorm
так, таким образом;thus
билет;ticket
прилив;tide
опрятный, аккуратный;tidy
связь, соединение/завязывать, привязывать;tie
тигр;tiger
плотный, тугой/туго;tight
натягивать, сжимать, уплотнять;tighten
до тех пор, пока;till
лесоматериалы, брЮвна;timber
раз;time
своевременный;timely
робкий, застенчивый;timid
жесть/жестяной;tin
маленький, крошечный;tiny
кончик;tip
чаевые;tips
утомлять, надоедать;tire
утомительный, скучный;tiresome
ткань (биол. и техн.);tissue
название;title
табак;tobacco
палец ноги;toe
тяжЮлый труд/усиленно трудиться;toil
туалет;toilet
знак;token
терпимость;tolerance
терпимый (человек);tolerant
терпеть;tolerate
терпимость;toleration
плата, пошлина, удержания, потери;toll
могила;tomb
тонна;ton
язык;tongue
сегодня вечером;tonight
инструмент;tool
зуб;tooth
зубная паста;toothpaste
верх/верхний;top
тема;topic
мучение, мука;torment
рваный;torn
пытка/пытать, мучить;torture
бросать/бросание;toss
весь, совокупный/целое, итог;total
полностью;totally
трогать, касаться;touch
жЮсткий, трудный, упрямый;tough
тянуть на буксире/буксировка;tow
в сторону, по направлению к;toward
полотенце;towel
башня;tower
небольшой город;town
игрушка;toy
след/следить;trace
след, курс, путь;track
ремесло, профессия;trade
торговать/торговля;trade
уличное движение;traffic
след, тропа/тащиться, волочиться по следу;trail
обучать, воспитывать, тренировать;train
поезд;train
черта, особенность;trait
предатель;traitor
спокойный;tranquil
спокойствие;tranquility
дело, ведение дела;transaction
перемещение, перевод/передавать, перемещать;transfer
превращать(ся), изменять(ся);transform
переход, перемещение;transition
преобразовывать, переводить на другой язык, объяснять;translate
передача;transmission
передавать, отправлять;transmit
прозрачный;transparent
западня, ловушка/ловить в ловушку;trap
отбросы, мусор;trash
путешествовать;travel
поднос, поддон;tray
предательский;treacherous
предательство;treachery
ступать/поступь, походка;tread
предательство;treason
сокровище;treasure
лечить;treat
обращаться с;treat
обращение с чем-либо;treatment
договор;treaty
дерево;tree
дрожь, дрожание/дрожать, трястись;tremble
огромный, страшный;tremendous
направление, тенденция;trend
пробный/испытание, проба;trial
судебный процесс;trial
племя;tribe
дань;tribute
трюк, хитрость, обман/обманывать;trick
надувательство, хитрость;trickery
пустяк, мелочь;trifle
пустяковый;trifling
курок;trigger
подрезать, приводить в порядок;trim
путешествие;trip
тройной/утраивать;triple
обыденный, мелкий, пустой;trivial
войска;troops
трофей, добыча;trophy
неприятность или беспокойство/тревожить, затруднять, надоедать;trouble
нарушитель спокойствия;troublemaker
мучительный, причиняющий беспокойство;troublesome
мир, перемирие;truce
грузовик;truck
верный, истинный;true
поистине, по настоящему;truly
труба (музыкальный инструмент);trumpet
ствол дерева;trunk
доверять;trust
правда;truth
правдивый, верный;truthful
пробовать, испытывать, пытаться;try
трудный, тяжЮлый, мучительный;trying
трубка, тюбик;tube
тащить, дЮргать;tug
обучение или плата за обучение;tuition
падение или беспорядок, смятение;tumble
мелодия, мотив;tune
шум, беспорядок, суматоха;turmoil
отклоняться, отворачиваться, отходить в сторону;turn aside
возвращаться, разворачиваться вспять;turn back
отвергнуть, отклонить;turn down
превращать(ся) в;turn into
выключать;turn off
включать;turn on
оказаться;turn out
изменить, превратить;turn
поворачивать, вращать/поворот;turn
оборот (экон.);turnover
черепаха;turtle
дважды;twice
сумерки;twilight
близнец;twin
крутить, изгибать/изгиб, поворот;twist
тиран;tyrant
уродство, некрасивая внешность;ugliness
уродливый;ugly
окончательный, конечный;ultimate
зонтик;umbrella
неспособный;unable
неприемлемый;unacceptable
неизменный;unalterable
безоружный;unarmed
не знающий, не подозревающий;unaware
невыносимый;unbearable
невероятный;unbelievable
несгибаемый;unbending
неопределЮнность;uncertainty
дядя;uncle
необыкновенный, необычный;uncommon
бессознательный, неосознанный или не осознающий;unconscious
раскрывать;uncover
недооценивать;underestimate
подвергаться;undergo
подполье/подпольный, тайный;underground
лежащий в основе;underlying
подрывать, подмывать;undermine
внизу, ниже;underneath
недооценивать;underrate
предпринимать;undertake
нижнее бельЮ;underwear
сделать обратно;undo
несделанный;undone
неспокойный;uneasy
безработица;unemployment
неравный;unequal
неравенство;unequality
нечестный;unfair
неподходящий;unfit
разворачивать;unfold
несчастливый, неудачный;unfortunate
к несчастью;unfortunately
несчастливый, неудачный;unhappy
неопознанный;unidentified
объединение;unification
униформа;uniform
непонятный, неразборчивый;unintelligible
союз;union
уникальный;unique
единица, единица измерения;unit
объединять;unite
единство;unity
всеобщий, всемирный;universal
вселенная;universe
несправедливый;unjust
неизвестный;unknown
если не;unless
в отличие от;unlike
неправдоподобный, маловероятный;unlikely
неограниченный;unlimited
отпереть;unlock
неприятный;unpleasant
спокойный, ровный;unruffled
невидимый;unseen
неумелый;unskilled
нерешаемый;unsolvable
нетвЮрдый, неустойчивый, колеблющийся;unstable
немыслимый;unthinkable
отвязывать, развязывать;untie
до тех пор, пока;until
неверный, ложный;untrue
неправда;untruth
обычный;unusual
недостойный;unworthy
в соответствии с;up to
воспитание;upbringing
обновление/обновлять;update
верхний;upper
честный;upright
опрокидывать/опрокитывание, беспорядок;upset
вверх ногами;upside down
направленный вверх;upward
вверх;upwards
городской;urban
побуждать, подстрекать, убеждать;urge
настойчивость, срочность;urgency
срочный, крайне необходимый;urgent
использовать, пользоваться;use
полезный;useful
бесполезный;useless
обычный;usual
полезность;utility
крайний, предельный, величайший;utmost
абсолютный, полный;utter
издавать (звук);utter
незанятый, свободный;vacant
отпуск;vacation
пылесос;vacuum cleaner
смутный, неясный, неуловимый;vague
тщетный, напрасный;vain
веский, обоснованный;valid
долина;valley
ценный, дорогой;valuable
ценность;value
исчезать;vanish
тщеславие;vanity
побеждать, покорять;vanquish
переменный, переменная (мат);variable
изменение, вариант, отклонение;variation
многообразие;variety
различный;various
разниться, расходиться, варьироваться;vary
обширный, многочисленный;vast
овощ;vegetable
средство транспорта, проводник, средство распространения;vehicle
вена, кровеносный сосуд;vein
скорость;velocity
бархат;velvet
месть;vengeance
рискнуть, отважиться/рискованное мероприятие;venture
глагол;verb
словесный, устный;verbal
край, грань;verge
проверка, подтверждение;verification
проверять;verify
стихи;verse
сосуд;vessel
судно, корабль;vessel
раздражать, беспокоить;vex
через;via
наоборот;vice versa
порок, недостаток;vice
злобный, порочный, ужасный;vicious
жертва;victim
победитель;victor
победоносный;victorious
победа;victory
вид, взгляд/осматривать;view
сильный, энергичный;vigorous
подлый, низкий;vile
деревня;village
негодяй;villain
мстительный;vindictive
виноградная лоза;vine
нарушать;violate
нарушение;violation
насилие;violence
неистовый, яростный, интенсивный, страстный и т. д.;violent
скрипка;violin
гадюка;viper
девственница, девственник;virgin
фактический, действительный;virtual
добродетель, достоинство;virtue
добродетельный, целомудренный;virtuous
видимый;visible
видение;vision
посетить/посещение;visit
представлять, видеть мысленно;visualize
жизненно важный, насущный;vital
яркий, живой;vivid
профессиональный;vocational
голос;voice
пустой, бесполезный, недействительный;void
полнота, объЮм, громкость;volume
том, книга;volume
добровольный;voluntary
блевать/рвота;vomit
голосовать;vote
клятва/клясться;vow
путешествие;voyage
пошлый, грубый;vulgar
махать, качать;wag
зарплата;wage
талия;waist
официант;waiter
просыпаться или будить;wake up
бодрствующий, проведЮнный не во сне;waking
идти пешком;walk
стена;wall
бумажник;wallet
бродить, блуждать, заблудиться;wander
идти на убыль/убывание;wane
война;war
товарный склад или большой магазин;warehouse
война, искусство войны;warfare
тЮплый/греть;warm
тепло;warmth
предупреждать, предостерегать;warn
предупреждение;warning
оправдывать, подтверждать;warrant
воин;warrior
осторожный, подозрительный;wary
мыть;wash
оса;wasp
тратить впустую/потери, убытки;waste
охранять, следить;watch over
наручные или карманные часы;watch
смотреть;watch
водопад;waterfall
волна/размахивать;wave
колебаться, колыхаться;waver
воск;wax
способ, путь;way
слабый;weak
ослаблять;weaken
слабость;weakness
богатство, изобилиие;wealth
богатый, состоятельный;wealthy
оружие;weapon
стираться, проходить;wear off
износить, истощить, изнурить;wear out
носить;wear
усталость;weariness
утомлЮнный/утомляться;weary
погода;weather
свадьба;wedding
сорняк;weed
неделя;week
еженедельный;weekly
плакать;weep
весить;weigh
вес;weight
причудливый;weird
желанный, приятный/гостеприимство или приветствие;welcome
благоденствие;welfare
колодец;well
запад;west
западный;western
мокрый;wet
кит;whale
что бы ни, какой бы ни, и т. д.;whatever
пшеница;wheat
колесо;wheel
откуда;whence
всякий раз когда;whenever
местонахождение;whereabouts
тогда как;whereas
посредством чего;whereby
где бы ни;wherever
ли;whether
в то время как;while
прихоть, причуда;whim
вой, хныканье/скулить;whine
кнут;whip
вертеться, кружиться;whirl
шептать/шЮпот;whisper
свистеть/свист или свисток;whistle
обелять, скрывать недостатки;whitewash
куда;whither
кто бы ни, тот кто;whoever
весь, целый;whole
оптовая продажа;wholesale
полностью, целиком;wholly
шлюха, блядь;whore
злой, грешный, свирепый, опасный;wicked
широкий;wide
расширять;widen
широко распространЮнный;widespread
вдова;widow
ширина;width
владеть, иметь в руках;wield
жена;wife
дикий;wild
дикое место, пустыня;wilderness
дикая природа;wildlife
воля или сила воли;will
готовый, охотно делающий;willing
готовность;willingness
ива;willow
лукавый, хитрый, коварный;wily
побеждать, выигрывать;win
ветер;wind
вино;wine
крыло;wing
подмигивать, мограть/подмигивание;wink
зима;winter
уничтожить;wipe out
вытирать;wipe
провод;wire
беспроводной;wireless
мудрость;wisdom
мудрый;wise
желать/желание;wish
ум, разум;wit
уходить, удаляться, брать назад и т. д.;withdraw
вянуть, сохнуть, ослабевать;wither
внутри, в пределах;within
свидетель/быть очевидцем;witness
остроумный;witty
волшебник;wizard
горе, несчастье;woe
волк;wolf
интересоваться, желать знать;wonder
удивление или чудо/удивляться;wonder
удивительный;wonderful
имеющий обыкновение;wont
ухаживать, добиваться;woo
дрова, дерево;wood
лес;wood
деревянный;wooden
шерсть;wool
словесный;wordy
мастерская;workshop
червяк;worm
беспокоиться/тревога;worry
поклоняться, почитать/почитание, культ;worship
наихудший;worst
стоящий, заслуживающий;worth
ничего не стоящий, никудышний, бесполезный;worthless
достойный;worthy
рана;wound
спорить, пререкаться/спор, ссора;wrangle
заворачивать/обЮртка;wrap
гнев, ярость;wrath
крушение, авария/терпеть крушение, рухнуть;wreck
искажать, истолковывать;wrest
бороться;wrestle
несчастный, жалкий;wretched
терзать, выжимать, скручивать;wring
морщина/сморщиться;wrinkle
запястье;wrist
надпись;writing
неверный;wrong
заблуждающийся;wrong-headed
